0,1,2,3,4,5,6,7
-711.07623,497.06824,561.14526,210.97859,906.1137,459.21756,14.159356,-1196.0199
791.7314,776.3032,55.822666,-308.7445,286.7502,684.4694,978.1853,-755.4605
-322.07083,371.96964,468.67902,410.08997,436.41714,703.8494,235.7819,-733.1322
482.18112,885.4295,152.46666,-451.74695,691.0682,435.8118,798.37286,-1134.7738
532.63544,865.75665,121.945496,-426.56412,622.88776,490.99866,830.5026,-1064.8438
526.40607,864.5326,110.13315,-432.0822,622.6989,506.952,828.9948,-1065.8397
-341.88382,369.35327,434.32275,393.75894,436.72958,752.30914,231.41153,-734.8544
662.4438,819.0699,76.170876,-362.68817,457.7236,594.54456,906.10345,-905.44116
498.18674,867.13184,121.2128,-454.4323,637.9823,504.68274,810.24927,-1101.0413
662.7039,821.7547,85.87797,-360.84445,462.52676,581.31476,906.19055,-907.03815
637.44556,826.6482,80.1765,-375.98404,486.81778,582.0181,892.30054,-933.8655
766.5399,786.4423,50.7211,-309.6797,331.08664,662.55035,966.72534,-778.47504
-330.46506,369.40164,453.3285,402.80643,436.2258,724.9811,233.93166,-734.80994
802.7121,765.23267,15.3645115,-294.52512,268.8209,728.44995,990.17676,-723.90204
672.81726,815.1058,96.169365,-374.13876,426.18372,603.4258,907.53345,-903.2601
-339.61917,366.11832,432.00974,393.90973,434.86954,752.0876,230.69374,-738.4638
-651.89996,466.961,509.77,234.73001,814.3891,549.76135,51.37771,-1113.1956
439.74478,890.569,128.75276,-476.6624,726.3247,455.4434,779.6856,-1169.314
810.56055,771.2589,45.18218,-282.7824,277.13422,685.27954,991.1838,-723.4699
732.93744,793.1263,53.837406,-324.7559,366.78543,648.60004,946.28613,-816.37787
633.33014,828.1409,80.89759,-378.1148,492.01276,579.02484,889.31555,-939.40796
637.69446,826.6304,80.06819,-375.8642,486.6958,581.9893,891.99286,-934.0897
467.59778,874.05896,94.57804,-467.89883,678.38806,511.68295,797.6557,-1128.0659
767.02045,785.86755,50.36982,-309.5357,330.7821,662.5313,966.2276,-779.1146
718.17114,796.7556,49.003563,-335.49252,381.5007,650.8149,939.3734,-831.9212
511.3793,866.36926,102.79431,-442.2884,635.5921,512.72906,821.25183,-1080.9209
571.0801,851.9417,112.28375,-405.8525,575.25775,516.29913,851.71106,-1018.8257
-474.75504,418.41513,495.15463,330.3279,615.21814,622.3523,149.8752,-910.73663
492.31454,874.23535,116.42784,-450.52353,663.6247,487.8827,809.36,-1107.7186
612.89557,847.2991,135.44179,-378.24045,542.8126,494.40195,871.378,-981.70447
-705.06244,483.8825,522.1929,207.59428,877.8833,517.4949,21.46091,-1175.2251
-401.44736,392.3887,467.73138,366.16055,520.7238,683.9039,193.53712,-818.03284
737.2259,792.38715,72.81061,-343.7809,345.04657,654.97076,945.2306,-824.97485
656.92377,816.56836,78.707535,-357.1231,456.44324,595.0521,902.57526,-901.71136
-359.18964,383.81894,475.35275,390.8381,479.67572,684.62384,215.49411,-774.69025
537.5913,838.8672,95.042175,-400.5769,573.0879,551.7702,835.1257,-1016.6009
601.9724,827.32,89.65435,-377.26422,513.2951,568.69885,870.3525,-958.79486
-474.87247,418.379,495.25534,330.18137,615.3957,622.41394,150.12033,-910.5333
